array	sample	purity
TCGA-BT-A3PH-01	TCGA-BT-A3PH-01A-11D-A21Y-01	0.83
TCGA-BT-A3PJ-01	TCGA-BT-A3PJ-01A-21D-A21Y-01	0.51
TCGA-BT-A3PK-01	TCGA-BT-A3PK-01A-21D-A21Y-01	0.28
TCGA-BT-A42B-01	TCGA-BT-A42B-01A-32D-A23L-01	0.78
TCGA-BT-A42C-01	TCGA-BT-A42C-01A-11D-A23L-01	0.66
TCGA-BT-A42E-01	TCGA-BT-A42E-01A-11D-A23T-01	0.48
TCGA-BT-A42F-01	TCGA-BT-A42F-01A-11D-A23T-01	0.22
TCGA-C4-A0EZ-01	TCGA-C4-A0EZ-01A-21D-A10T-01	0.93
TCGA-C4-A0F0-01	TCGA-C4-A0F0-01A-12D-A10T-01	0.39
TCGA-C4-A0F6-01	TCGA-C4-A0F6-01A-11D-A10T-01	0.68
TCGA-CF-A1HR-01	TCGA-CF-A1HR-01A-11D-A13V-01	0.4
TCGA-CF-A1HS-01	TCGA-CF-A1HS-01A-11D-A13V-01	0.54
TCGA-CF-A27C-01	TCGA-CF-A27C-01A-11D-A16M-01	0.98
TCGA-CF-A3MF-01	TCGA-CF-A3MF-01A-12D-A219-01	0.78
TCGA-CF-A3MG-01	TCGA-CF-A3MG-01A-11D-A20B-01	0.8
TCGA-CF-A3MH-01	TCGA-CF-A3MH-01A-11D-A20B-01	0.87
TCGA-CF-A3MI-01	TCGA-CF-A3MI-01A-11D-A20B-01	0.79
TCGA-CF-A47S-01	TCGA-CF-A47S-01A-11D-A23T-01	0.62
TCGA-CF-A47T-01	TCGA-CF-A47T-01A-11D-A23T-01	0.94
TCGA-CF-A47V-01	TCGA-CF-A47V-01A-11D-A23T-01	0.93
TCGA-CF-A47W-01	TCGA-CF-A47W-01A-11D-A23T-01	0.94
TCGA-CF-A47X-01	TCGA-CF-A47X-01A-31D-A23T-01	0.88
TCGA-CF-A47Y-01	TCGA-CF-A47Y-01A-11D-A23T-01	0.92
TCGA-CF-A5U8-01	TCGA-CF-A5U8-01A-11D-A288-01	0.97
TCGA-CF-A5UA-01	TCGA-CF-A5UA-01A-11D-A288-01	0.92
TCGA-CF-A7I0-01	TCGA-CF-A7I0-01A-22D-A34T-01	0.68
TCGA-CF-A8HX-01	TCGA-CF-A8HX-01A-11D-A363-01	0.95
TCGA-CF-A8HY-01	TCGA-CF-A8HY-01A-11D-A363-01	0.87
TCGA-CF-A9FF-01	TCGA-CF-A9FF-01A-11D-A38F-01	0.73
TCGA-CF-A9FH-01	TCGA-CF-A9FH-01A-11D-A38F-01	0.95
TCGA-CF-A9FL-01	TCGA-CF-A9FL-01A-11D-A38F-01	0.85
TCGA-CF-A9FM-01	TCGA-CF-A9FM-01A-11D-A38F-01	0.96
TCGA-CU-A0YN-01	TCGA-CU-A0YN-01A-21D-A10T-01	0.4
TCGA-CU-A0YO-01	TCGA-CU-A0YO-01A-11D-A10T-01	0.33
TCGA-CU-A0YR-01	TCGA-CU-A0YR-01A-12D-A10T-01	0.47
TCGA-CU-A3KJ-01	TCGA-CU-A3KJ-01A-11D-A219-01	0.75
TCGA-CU-A3QU-01	TCGA-CU-A3QU-01A-11D-A22Y-01	0.9
TCGA-CU-A3YL-01	TCGA-CU-A3YL-01A-11D-A22Y-01	0.73
TCGA-CU-A5W6-01	TCGA-CU-A5W6-01A-11D-A288-01	0.47
TCGA-CU-A72E-01	TCGA-CU-A72E-01A-12D-A338-01	0.69
TCGA-DK-A1A3-01	TCGA-DK-A1A3-01A-11D-A13V-01	0.43
TCGA-DK-A1A5-01	TCGA-DK-A1A5-01A-11D-A13V-01	0.59
TCGA-DK-A1A6-06	TCGA-DK-A1A6-06A-11D-A42D-01	0.53
TCGA-DK-A1A7-01	TCGA-DK-A1A7-01A-11D-A13V-01	0.74
TCGA-DK-A1AA-01	TCGA-DK-A1AA-01A-11D-A13V-01	0.93
TCGA-DK-A1AB-01	TCGA-DK-A1AB-01A-11D-A13V-01	0.56
TCGA-DK-A1AC-01	TCGA-DK-A1AC-01A-11D-A13V-01	0.69
TCGA-DK-A1AD-01	TCGA-DK-A1AD-01A-11D-A13V-01	0.73
TCGA-DK-A1AE-01	TCGA-DK-A1AE-01A-11D-A13V-01	0.83
TCGA-DK-A1AF-01	TCGA-DK-A1AF-01A-11D-A13V-01	0.13
TCGA-DK-A1AG-01	TCGA-DK-A1AG-01A-11D-A13V-01	0.92
TCGA-DK-A2HX-01	TCGA-DK-A2HX-01A-12D-A18E-01	0.49
TCGA-DK-A2I1-01	TCGA-DK-A2I1-01A-11D-A17S-01	0.58
TCGA-DK-A2I2-01	TCGA-DK-A2I2-01A-11D-A17S-01	0.3
TCGA-DK-A2I4-01	TCGA-DK-A2I4-01A-11D-A219-01	0.29
TCGA-DK-A2I6-01	TCGA-DK-A2I6-01A-12D-A18E-01	0.54
