array	sample	purity
TCGA-63-A5MS-01	TCGA-63-A5MS-01A-11D-A26L-01	0.2
TCGA-63-A5MT-01	TCGA-63-A5MT-01A-21D-A26L-01	0.39
TCGA-63-A5MU-01	TCGA-63-A5MU-01A-11D-A26L-01	0.81
TCGA-63-A5MV-01	TCGA-63-A5MV-01A-21D-A26L-01	0.35
TCGA-63-A5MW-01	TCGA-63-A5MW-01A-11D-A26L-01	0.66
TCGA-63-A5MY-01	TCGA-63-A5MY-01A-11D-A26L-01	0.85
TCGA-66-2727-01	TCGA-66-2727-01A-01D-0978-01	0.47
TCGA-66-2734-01	TCGA-66-2734-01A-01D-0978-01	0.36
TCGA-66-2742-01	TCGA-66-2742-01A-01D-0978-01	0.44
TCGA-66-2744-01	TCGA-66-2744-01A-01D-1969-01	0.37
TCGA-66-2754-01	TCGA-66-2754-01A-01D-0978-01	0.87
TCGA-66-2755-01	TCGA-66-2755-01A-01D-0844-01	0.3
TCGA-66-2756-01	TCGA-66-2756-01A-01D-0844-01	0.71
TCGA-66-2757-01	TCGA-66-2757-01A-01D-0844-01	0.86
TCGA-66-2758-01	TCGA-66-2758-01A-02D-1969-01	0.5
TCGA-66-2759-01	TCGA-66-2759-01A-01D-1969-01	0.5
TCGA-66-2763-01	TCGA-66-2763-01A-01D-0844-01	0.67
TCGA-66-2765-01	TCGA-66-2765-01A-01D-0844-01	0.51
TCGA-66-2766-01	TCGA-66-2766-01A-01D-0844-01	0.75
TCGA-66-2767-01	TCGA-66-2767-01A-01D-0844-01	0.27
TCGA-66-2768-01	TCGA-66-2768-01A-01D-0844-01	0.57
TCGA-66-2769-01	TCGA-66-2769-01A-02D-0844-01	0.32
TCGA-66-2770-01	TCGA-66-2770-01A-01D-0844-01	0.64
TCGA-66-2771-01	TCGA-66-2771-01A-01D-0978-01	0.44
TCGA-66-2773-01	TCGA-66-2773-01A-01D-1195-01	0.41
TCGA-66-2777-01	TCGA-66-2777-01A-01D-1195-01	0.3
TCGA-66-2778-01	TCGA-66-2778-01A-02D-0844-01	0.38
TCGA-66-2780-01	TCGA-66-2780-01A-01D-0844-01	0.47
TCGA-66-2781-01	TCGA-66-2781-01A-01D-0844-01	0.4
TCGA-66-2782-01	TCGA-66-2782-01A-01D-0844-01	0.52
TCGA-66-2783-01	TCGA-66-2783-01A-01D-1195-01	0.57
TCGA-66-2785-01	TCGA-66-2785-01A-01D-0844-01	0.4
TCGA-66-2786-01	TCGA-66-2786-01A-01D-0844-01	0.57
TCGA-66-2787-01	TCGA-66-2787-01A-01D-0978-01	0.36
TCGA-66-2788-01	TCGA-66-2788-01A-01D-0978-01	0.41
TCGA-66-2789-01	TCGA-66-2789-01A-01D-0978-01	0.55
TCGA-66-2791-01	TCGA-66-2791-01A-01D-1969-01	0.45
TCGA-66-2792-01	TCGA-66-2792-01A-01D-0978-01	0.66
TCGA-66-2793-01	TCGA-66-2793-01A-01D-1195-01	0.85
TCGA-66-2794-01	TCGA-66-2794-01A-01D-1195-01	0.64
TCGA-66-2795-01	TCGA-66-2795-01A-02D-0978-01	0.66
TCGA-66-2800-01	TCGA-66-2800-01A-01D-1195-01	0.52
TCGA-68-7755-01	TCGA-68-7755-01A-11D-2121-01	0.62
TCGA-68-7756-01	TCGA-68-7756-01A-11D-2121-01	0.49
TCGA-68-7757-01	TCGA-68-7757-01B-11D-2292-01	0.34
TCGA-68-8250-01	TCGA-68-8250-01A-11D-2292-01	0.44
TCGA-68-8251-01	TCGA-68-8251-01A-11D-2292-01	0.33
TCGA-68-A59J-01	TCGA-68-A59J-01A-21D-A26L-01	0.45
TCGA-6A-AB49-01	TCGA-6A-AB49-01A-12D-A400-01	0.69
TCGA-70-6722-01	TCGA-70-6722-01A-11D-1816-01	0.32
TCGA-70-6723-01	TCGA-70-6723-01A-11D-1816-01	0.86
TCGA-77-6842-01	TCGA-77-6842-01A-11D-1943-01	0.48
TCGA-77-6843-01	TCGA-77-6843-01A-11D-1943-01	0.74
TCGA-77-6844-01	TCGA-77-6844-01A-11D-1943-01	0.66
TCGA-77-6845-01	TCGA-77-6845-01A-11D-1943-01	0.78
TCGA-77-7139-01	TCGA-77-7139-01A-11D-2041-01	0.72
TCGA-77-7140-01	TCGA-77-7140-01A-41D-2041-01	0.78
TCGA-77-7141-01	TCGA-77-7141-01A-11D-2041-01	0.61
TCGA-77-7142-01	TCGA-77-7142-01A-11D-2041-01	0.39
TCGA-77-7335-01	TCGA-77-7335-01A-11D-2041-01	0.41
TCGA-77-7337-01	TCGA-77-7337-01A-21D-2041-01	0.52
TCGA-77-7338-01	TCGA-77-7338-01A-11D-2041-01	0.52
TCGA-77-7463-01	TCGA-77-7463-01A-11D-2041-01	0.41
TCGA-77-7465-01	TCGA-77-7465-01A-11D-2041-01	0.68
TCGA-77-8007-01	TCGA-77-8007-01A-11D-2183-01	0.21
TCGA-77-8008-01	TCGA-77-8008-01A-21D-2183-01	0.27
TCGA-77-8009-01	TCGA-77-8009-01A-11D-2183-01	0.67
TCGA-77-8128-01	TCGA-77-8128-01A-11D-2243-01	0.64
TCGA-77-8130-01	TCGA-77-8130-01A-11D-2243-01	0.39
TCGA-77-8131-01	TCGA-77-8131-01A-11D-2243-01	0.23
TCGA-77-8133-01	TCGA-77-8133-01A-12D-2243-01	0.4
TCGA-77-8136-01	TCGA-77-8136-01A-11D-2243-01	0.34
TCGA-77-8138-01	TCGA-77-8138-01A-11D-2243-01	0.23
TCGA-77-8139-01	TCGA-77-8139-01A-11D-2243-01	0.3
TCGA-77-8140-01	TCGA-77-8140-01A-11D-2243-01	0.53
TCGA-77-8143-01	TCGA-77-8143-01A-11D-2243-01	0.66
TCGA-77-8144-01	TCGA-77-8144-01A-11D-2243-01	0.57
TCGA-77-8145-01	TCGA-77-8145-01A-11D-2243-01	0.41
TCGA-77-8148-01	TCGA-77-8148-01A-11D-2243-01	0.68
TCGA-77-8150-01	TCGA-77-8150-01A-11D-2243-01	0.56
TCGA-77-8153-01	TCGA-77-8153-01A-11D-2391-01	0.76
TCGA-77-8154-01	TCGA-77-8154-01A-11D-2243-01	0.68
TCGA-77-8156-01	TCGA-77-8156-01A-11D-2243-01	0.23
TCGA-77-A5FZ-01	TCGA-77-A5FZ-01A-31D-A27J-01	0.46
TCGA-77-A5G1-01	TCGA-77-A5G1-01A-11D-A27J-01	0.25
TCGA-77-A5G3-01	TCGA-77-A5G3-01A-31D-A27J-01	0.65
TCGA-77-A5G6-01	TCGA-77-A5G6-01A-11D-A27J-01	0.7
TCGA-77-A5G7-01	TCGA-77-A5G7-01B-11D-A27J-01	0.58
TCGA-77-A5G8-01	TCGA-77-A5G8-01B-11D-A27J-01	0.44
TCGA-77-A5GB-01	TCGA-77-A5GB-01B-11D-A27J-01	0.28
TCGA-77-A5GF-01	TCGA-77-A5GF-01A-21D-A27J-01	0.56
TCGA-77-A5GH-01	TCGA-77-A5GH-01A-11D-A27J-01	0.46
TCGA-79-5596-01	TCGA-79-5596-01A-31D-1943-01	0.69
TCGA-85-6175-01	TCGA-85-6175-01A-11D-1816-01	0.3
TCGA-85-6560-01	TCGA-85-6560-01A-11D-1816-01	0.49
TCGA-85-6561-01	TCGA-85-6561-01A-11D-1816-01	0.4
TCGA-85-6798-01	TCGA-85-6798-01A-11D-1943-01	0.47
TCGA-85-7696-01	TCGA-85-7696-01A-11D-2121-01	0.76
TCGA-85-7697-01	TCGA-85-7697-01A-11D-2121-01	0.36
TCGA-85-7698-01	TCGA-85-7698-01A-11D-2121-01	0.63
TCGA-85-7699-01	TCGA-85-7699-01A-11D-2121-01	0.65
TCGA-85-7710-01	TCGA-85-7710-01A-11D-2121-01	0.73
TCGA-85-7843-01	TCGA-85-7843-01A-11D-2121-01	0.41
TCGA-85-7844-01	TCGA-85-7844-01A-11D-2121-01	0.33
TCGA-85-7950-01	TCGA-85-7950-01A-11D-2183-01	0.52
TCGA-85-8048-01	TCGA-85-8048-01A-11D-2243-01	0.18
TCGA-85-8049-01	TCGA-85-8049-01A-11D-2243-01	0.2
TCGA-85-8052-01	TCGA-85-8052-01A-11D-2243-01	0.37
TCGA-85-8070-01	TCGA-85-8070-01A-11D-2243-01	0.95
TCGA-85-8071-01	TCGA-85-8071-01A-11D-2243-01	0.86
TCGA-85-8072-01	TCGA-85-8072-01A-31D-2243-01	0.42
TCGA-85-8276-01	TCGA-85-8276-01A-11D-2292-01	0.26
TCGA-85-8277-01	TCGA-85-8277-01A-11D-2292-01	0.56
TCGA-85-8287-01	TCGA-85-8287-01A-11D-2292-01	0.34
TCGA-85-8288-01	TCGA-85-8288-01A-11D-2292-01	0.61
TCGA-85-8350-01	TCGA-85-8350-01A-11D-2292-01	0.32
TCGA-85-8351-01	TCGA-85-8351-01A-11D-2292-01	0.49
TCGA-85-8352-01	TCGA-85-8352-01A-31D-2322-01	0.93
TCGA-85-8353-01	TCGA-85-8353-01A-21D-2292-01	0.41
TCGA-85-8354-01	TCGA-85-8354-01A-31D-2322-01	0.75
TCGA-85-8355-01	TCGA-85-8355-01A-11D-2292-01	0.23
TCGA-85-8479-01	TCGA-85-8479-01A-11D-2322-01	0.67
TCGA-85-8481-01	TCGA-85-8481-01A-11D-2322-01	0.29
TCGA-85-8580-01	TCGA-85-8580-01A-31D-2391-01	0.33
TCGA-85-8582-01	TCGA-85-8582-01A-21D-2391-01	0.21
TCGA-85-8584-01	TCGA-85-8584-01A-11D-2391-01	0.39
TCGA-85-8664-01	TCGA-85-8664-01A-11D-2391-01	0.65
TCGA-85-8666-01	TCGA-85-8666-01A-11D-2391-01	0.27
TCGA-85-A4CL-01	TCGA-85-A4CL-01A-41D-A26L-01	0.65
TCGA-85-A4CN-01	TCGA-85-A4CN-01A-11D-A24C-01	0.54
TCGA-85-A4JB-01	TCGA-85-A4JB-01A-51D-A25M-01	0.33
TCGA-85-A4JC-01	TCGA-85-A4JC-01A-11D-A256-01	0.48
TCGA-85-A4PA-01	TCGA-85-A4PA-01A-11D-A256-01	0.43
TCGA-85-A4QQ-01	TCGA-85-A4QQ-01A-41D-A25M-01	0.56
TCGA-85-A4QR-01	TCGA-85-A4QR-01A-11D-A256-01	0.73
TCGA-85-A50M-01	TCGA-85-A50M-01A-21D-A25M-01	0.19
TCGA-85-A50Z-01	TCGA-85-A50Z-01A-21D-A25M-01	0.36
TCGA-85-A510-01	TCGA-85-A510-01A-11D-A26L-01	0.55
TCGA-85-A511-01	TCGA-85-A511-01A-21D-A25M-01	0.25
TCGA-85-A512-01	TCGA-85-A512-01A-11D-A26L-01	0.77
TCGA-85-A513-01	TCGA-85-A513-01A-12D-A26L-01	0.24
TCGA-85-A53L-01	TCGA-85-A53L-01A-21D-A26L-01	0.43
TCGA-85-A5B5-01	TCGA-85-A5B5-01A-21D-A26L-01	0.8
TCGA-90-7766-01	TCGA-90-7766-01A-21D-2121-01	0.59
TCGA-90-7767-01	TCGA-90-7767-01A-11D-2121-01	0.54
TCGA-90-7769-01	TCGA-90-7769-01A-11D-2121-01	0.73
TCGA-90-7964-01	TCGA-90-7964-01A-21D-2183-01	0.71
TCGA-90-A4ED-01	TCGA-90-A4ED-01A-31D-A256-01	0.38
TCGA-90-A4EE-01	TCGA-90-A4EE-01A-11D-A256-01	0.42
TCGA-90-A59Q-01	TCGA-90-A59Q-01A-11D-A26L-01	0.28
TCGA-92-7340-01	TCGA-92-7340-01A-21D-2041-01	0.39
TCGA-92-7341-01	TCGA-92-7341-01A-31D-2041-01	0.51
TCGA-92-8063-01	TCGA-92-8063-01A-11D-2243-01	0.51
TCGA-92-8064-01	TCGA-92-8064-01A-11D-2243-01	0.31
TCGA-92-8065-01	TCGA-92-8065-01A-11D-2243-01	0.5
TCGA-94-7033-01	TCGA-94-7033-01A-11D-1943-01	0.44
TCGA-94-7557-01	TCGA-94-7557-01A-11D-2121-01	0.46
TCGA-94-7943-01	TCGA-94-7943-01A-11D-2183-01	0.58
TCGA-94-8035-01	TCGA-94-8035-01A-11D-2243-01	0.48
TCGA-94-8490-01	TCGA-94-8490-01A-11D-2322-01	0.79
TCGA-94-8491-01	TCGA-94-8491-01A-11D-2322-01	0.52
TCGA-94-A4VJ-01	TCGA-94-A4VJ-01A-11D-A256-01	0.53
TCGA-94-A5I4-01	TCGA-94-A5I4-01A-11D-A26L-01	0.59
TCGA-94-A5I6-01	TCGA-94-A5I6-01A-21D-A27J-01	0.38
TCGA-96-7544-01	TCGA-96-7544-01A-11D-2041-01	0.58
TCGA-96-7545-01	TCGA-96-7545-01A-21D-2041-01	0.4
TCGA-96-8169-01	TCGA-96-8169-01A-11D-2292-01	0.42
TCGA-96-8170-01	TCGA-96-8170-01A-11D-2292-01	0.35
TCGA-96-A4JL-01	TCGA-96-A4JL-01A-11D-A256-01	0.38
TCGA-98-7454-01	TCGA-98-7454-01A-11D-2041-01	0.25
TCGA-98-8020-01	TCGA-98-8020-01A-11D-2243-01	0.46
TCGA-98-8021-01	TCGA-98-8021-01A-11D-2243-01	0.41
TCGA-98-8022-01	TCGA-98-8022-01A-11D-2243-01	0.42
TCGA-98-8023-01	TCGA-98-8023-01A-11D-2243-01	0.29
TCGA-98-A538-01	TCGA-98-A538-01A-11D-A25M-01	0.45
TCGA-98-A539-01	TCGA-98-A539-01A-31D-A25M-01	0.3
TCGA-98-A53A-01	TCGA-98-A53A-01A-11D-A25M-01	0.7
TCGA-98-A53B-01	TCGA-98-A53B-01A-11D-A25M-01	0.36
TCGA-98-A53C-01	TCGA-98-A53C-01A-11D-A25M-01	0.47
TCGA-98-A53H-01	TCGA-98-A53H-01A-12D-A25M-01	0.43
TCGA-98-A53I-01	TCGA-98-A53I-01A-31D-A25M-01	0.52
TCGA-98-A53J-01	TCGA-98-A53J-01A-11D-A26L-01	0.4
TCGA-J1-A4AH-01	TCGA-J1-A4AH-01A-31D-A24C-01	0.33
TCGA-L3-A4E7-01	TCGA-L3-A4E7-01A-11D-A256-01	0.46
TCGA-L3-A524-01	TCGA-L3-A524-01A-11D-A25M-01	0.59
TCGA-LA-A446-01	TCGA-LA-A446-01A-21D-A256-01	0.41
TCGA-LA-A7SW-01	TCGA-LA-A7SW-01A-11D-A400-01	0.48
TCGA-MF-A522-01	TCGA-MF-A522-01A-11D-A25M-01	0.64
TCGA-NC-A5HD-01	TCGA-NC-A5HD-01A-11D-A26L-01	0.61
TCGA-NC-A5HE-01	TCGA-NC-A5HE-01A-11D-A26L-01	0.32
TCGA-NC-A5HF-01	TCGA-NC-A5HF-01A-11D-A26L-01	0.75
TCGA-NC-A5HG-01	TCGA-NC-A5HG-01A-11D-A26L-01	0.75
TCGA-NC-A5HH-01	TCGA-NC-A5HH-01A-11D-A26L-01	0.77
TCGA-NC-A5HI-01	TCGA-NC-A5HI-01A-11D-A26L-01	0.6
TCGA-NC-A5HJ-01	TCGA-NC-A5HJ-01A-11D-A26L-01	0.17
TCGA-NC-A5HK-01	TCGA-NC-A5HK-01A-11D-A26L-01	0.48
TCGA-NC-A5HL-01	TCGA-NC-A5HL-01A-11D-A26L-01	0.5
TCGA-NC-A5HM-01	TCGA-NC-A5HM-01A-12D-A26L-01	0.69
TCGA-NC-A5HN-01	TCGA-NC-A5HN-01A-11D-A26L-01	0.82
TCGA-NC-A5HO-01	TCGA-NC-A5HO-01A-11D-A26L-01	0.63
TCGA-NC-A5HP-01	TCGA-NC-A5HP-01A-11D-A26L-01	0.53
TCGA-NC-A5HQ-01	TCGA-NC-A5HQ-01A-11D-A26L-01	0.5
TCGA-NC-A5HR-01	TCGA-NC-A5HR-01A-21D-A26L-01	0.66
TCGA-NC-A5HT-01	TCGA-NC-A5HT-01A-11D-A26L-01	0.73
TCGA-NK-A5CR-01	TCGA-NK-A5CR-01A-11D-A26L-01	0.61
TCGA-NK-A5CT-01	TCGA-NK-A5CT-01A-31D-A26L-01	0.5
TCGA-NK-A5CX-01	TCGA-NK-A5CX-01A-11D-A26L-01	0.51
TCGA-NK-A7XE-01	TCGA-NK-A7XE-01A-12D-A400-01	0.53
TCGA-O2-A52N-01	TCGA-O2-A52N-01A-11D-A26L-01	0.46
TCGA-O2-A52Q-01	TCGA-O2-A52Q-01A-11D-A26L-01	0.52
TCGA-O2-A52S-01	TCGA-O2-A52S-01A-11D-A25M-01	0.75
TCGA-O2-A52V-01	TCGA-O2-A52V-01A-31D-A25M-01	0.37
TCGA-O2-A52W-01	TCGA-O2-A52W-01A-11D-A26L-01	0.36
TCGA-O2-A5IB-01	TCGA-O2-A5IB-01A-11D-A27J-01	0.93
TCGA-XC-AA0X-01	TCGA-XC-AA0X-01A-32D-A400-01	0.21
TCGA-3H-AB3K-01	TCGA-3H-AB3K-01A-11D-A39Q-01	0.77
TCGA-3H-AB3L-01	TCGA-3H-AB3L-01A-11D-A39Q-01	0.66
TCGA-3H-AB3M-01	TCGA-3H-AB3M-01A-11D-A39Q-01	0.83
TCGA-3H-AB3S-01	TCGA-3H-AB3S-01A-21D-A39Q-01	0.81
TCGA-3H-AB3T-01	TCGA-3H-AB3T-01A-11D-A39Q-01	0.44
TCGA-3H-AB3U-01	TCGA-3H-AB3U-01A-21D-A39Q-01	0.76
TCGA-3H-AB3X-01	TCGA-3H-AB3X-01A-11D-A39Q-01	0.74
TCGA-3U-A98D-01	TCGA-3U-A98D-01A-12D-A39Q-01	0.65
TCGA-3U-A98E-01	TCGA-3U-A98E-01A-11D-A39Q-01	0.81
TCGA-3U-A98F-01	TCGA-3U-A98F-01A-11D-A39Q-01	0.94
TCGA-3U-A98G-01	TCGA-3U-A98G-01A-11D-A39Q-01	0.67
TCGA-3U-A98H-01	TCGA-3U-A98H-01A-11D-A39Q-01	0.38
TCGA-3U-A98I-01	TCGA-3U-A98I-01A-11D-A39Q-01	0.52
TCGA-3U-A98J-01	TCGA-3U-A98J-01A-11D-A39Q-01	0.57
TCGA-LK-A4NW-01	TCGA-LK-A4NW-01A-11D-A34B-01	0.48
TCGA-LK-A4NY-01	TCGA-LK-A4NY-01A-11D-A34B-01	0.73
TCGA-LK-A4NZ-01	TCGA-LK-A4NZ-01A-12D-A34B-01	0.39
TCGA-LK-A4O0-01	TCGA-LK-A4O0-01A-11D-A34B-01	0.49
TCGA-LK-A4O2-01	TCGA-LK-A4O2-01A-11D-A34B-01	0.49
TCGA-LK-A4O4-01	TCGA-LK-A4O4-01A-11D-A34B-01	0.5
TCGA-LK-A4O5-01	TCGA-LK-A4O5-01A-11D-A34B-01	0.66
TCGA-LK-A4O6-01	TCGA-LK-A4O6-01A-11D-A34B-01	0.31
TCGA-LK-A4O7-01	TCGA-LK-A4O7-01A-11D-A34B-01	0.8
TCGA-MQ-A4KX-01	TCGA-MQ-A4KX-01A-11D-A34B-01	0.41
TCGA-MQ-A4LC-01	TCGA-MQ-A4LC-01A-31D-A34B-01	0.63
TCGA-MQ-A4LI-01	TCGA-MQ-A4LI-01A-11D-A34B-01	0.75
TCGA-MQ-A4LJ-01	TCGA-MQ-A4LJ-01A-11D-A34B-01	0.69
TCGA-MQ-A4LM-01	TCGA-MQ-A4LM-01A-11D-A34B-01	0.34
TCGA-MQ-A4LP-01	TCGA-MQ-A4LP-01A-11D-A34B-01	0.78
TCGA-MQ-A4LV-01	TCGA-MQ-A4LV-01A-11D-A34B-01	0.43
TCGA-MQ-A6BL-01	TCGA-MQ-A6BL-01A-11D-A34B-01	0.29
TCGA-MQ-A6BQ-01	TCGA-MQ-A6BQ-01A-11D-A34B-01	0.65
TCGA-MQ-A6BR-01	TCGA-MQ-A6BR-01A-11D-A34B-01	0.62
TCGA-MQ-A6BS-01	TCGA-MQ-A6BS-01A-12D-A34B-01	0.78
TCGA-NQ-A57I-01	TCGA-NQ-A57I-01A-11D-A34B-01	0.52
TCGA-NQ-A638-01	TCGA-NQ-A638-01A-11D-A34B-01	0.61
TCGA-SC-A6LM-01	TCGA-SC-A6LM-01A-11D-A34B-01	0.68
TCGA-SC-A6LN-01	TCGA-SC-A6LN-01A-11D-A34B-01	0.57
TCGA-SC-A6LP-01	TCGA-SC-A6LP-01A-11D-A34B-01	0.56
TCGA-SC-A6LQ-01	TCGA-SC-A6LQ-01A-11D-A34B-01	0.42
TCGA-SC-A6LR-01	TCGA-SC-A6LR-01A-11D-A34B-01	0.57
TCGA-SC-AA5Z-01	TCGA-SC-AA5Z-01A-21D-A39Q-01	0.22
TCGA-SH-A7BC-01	TCGA-SH-A7BC-01A-11D-A34B-01	0.52
TCGA-SH-A7BD-01	TCGA-SH-A7BD-01A-11D-A34B-01	0.88
TCGA-SH-A7BH-01	TCGA-SH-A7BH-01A-11D-A34B-01	0.81
TCGA-SH-A9CT-01	TCGA-SH-A9CT-01A-11D-A39Q-01	0.73
TCGA-SH-A9CU-01	TCGA-SH-A9CU-01A-11D-A39Q-01	0.71
TCGA-TS-A7OU-01	TCGA-TS-A7OU-01B-11D-A39Q-01	0.68
TCGA-TS-A7OY-01	TCGA-TS-A7OY-01A-11D-A34B-01	0.29
TCGA-TS-A7OZ-01	TCGA-TS-A7OZ-01A-21D-A39Q-01	0.56
TCGA-TS-A7P0-01	TCGA-TS-A7P0-01A-11D-A34B-01	0.52
TCGA-TS-A7P1-01	TCGA-TS-A7P1-01A-41D-A39Q-01	0.8
TCGA-TS-A7P3-01	TCGA-TS-A7P3-01A-12D-A34B-01	0.4
TCGA-TS-A7P6-01	TCGA-TS-A7P6-01A-21D-A34B-01	0.66
TCGA-TS-A7P8-01	TCGA-TS-A7P8-01A-11D-A34B-01	0.67
TCGA-TS-A7PB-01	TCGA-TS-A7PB-01A-11D-A34B-01	0.6
TCGA-TS-A8AI-01	TCGA-TS-A8AI-01A-11D-A39Q-01	0.54
TCGA-TS-A8AS-01	TCGA-TS-A8AS-01A-21D-A39Q-01	0.21
TCGA-TS-A8AY-01	TCGA-TS-A8AY-01A-21D-A39Q-01	0.64
TCGA-UD-AABZ-01	TCGA-UD-AABZ-01A-12D-A39Q-01	0.67
TCGA-UD-AAC1-01	TCGA-UD-AAC1-01A-11D-A39Q-01	0.73
TCGA-UD-AAC4-01	TCGA-UD-AAC4-01A-11D-A39Q-01	0.6
TCGA-UD-AAC5-01	TCGA-UD-AAC5-01A-11D-A39Q-01	0.66
TCGA-UD-AAC6-01	TCGA-UD-AAC6-01A-11D-A39Q-01	0.48
TCGA-UD-AAC7-01	TCGA-UD-AAC7-01A-11D-A39Q-01	0.72
TCGA-UT-A88C-01	TCGA-UT-A88C-01B-11D-A39Q-01	0.36
TCGA-UT-A88D-01	TCGA-UT-A88D-01B-11D-A39Q-01	0.31
TCGA-UT-A88E-01	TCGA-UT-A88E-01B-11D-A39Q-01	0.88
TCGA-UT-A88G-01	TCGA-UT-A88G-01B-11D-A39Q-01	0.83
TCGA-UT-A97Y-01	TCGA-UT-A97Y-01A-21D-A39Q-01	0.23
TCGA-XT-AASU-01	TCGA-XT-AASU-01A-11D-A39Q-01	0.41
TCGA-YS-A95B-01	TCGA-YS-A95B-01A-11D-A39Q-01	0.76
TCGA-YS-A95C-01	TCGA-YS-A95C-01A-11D-A39Q-01	0.67
TCGA-YS-AA4M-01	TCGA-YS-AA4M-01A-11D-A39Q-01	0.17
TCGA-ZN-A9VO-01	TCGA-ZN-A9VO-01A-11D-A39Q-01	0.71
TCGA-ZN-A9VP-01	TCGA-ZN-A9VP-01A-11D-A39Q-01	0.69
TCGA-ZN-A9VQ-01	TCGA-ZN-A9VQ-01A-11D-A39Q-01	0.94
TCGA-ZN-A9VS-01	TCGA-ZN-A9VS-01A-11D-A39Q-01	0.5
TCGA-ZN-A9VU-01	TCGA-ZN-A9VU-01A-11D-A39Q-01	0.61
TCGA-ZN-A9VV-01	TCGA-ZN-A9VV-01A-11D-A39Q-01	0.96
TCGA-ZN-A9VW-01	TCGA-ZN-A9VW-01A-11D-A39Q-01	0.65
TCGA-04-1331-01	TCGA-04-1331-01A-01D-0428-01	0.88
TCGA-04-1335-01	TCGA-04-1335-01A-01D-0428-01	0.77
TCGA-04-1336-01	TCGA-04-1336-01A-01D-0428-01	0.92
TCGA-04-1341-01	TCGA-04-1341-01A-01D-0428-01	0.82
TCGA-04-1342-01	TCGA-04-1342-01A-01D-0428-01	0.79
TCGA-04-1343-01	TCGA-04-1343-01A-01D-0428-01	0.61
TCGA-04-1346-01	TCGA-04-1346-01A-01D-0428-01	0.54
TCGA-04-1347-01	TCGA-04-1347-01A-01D-0428-01	0.94
TCGA-04-1348-01	TCGA-04-1348-01A-01D-0452-01	0.76
TCGA-04-1349-01	TCGA-04-1349-01A-01D-0452-01	0.76
TCGA-04-1353-01	TCGA-04-1353-01A-01D-1043-01	0.84
TCGA-04-1356-01	TCGA-04-1356-01A-01D-0452-01	0.71
TCGA-04-1357-01	TCGA-04-1357-01A-01D-0452-01	0.52
TCGA-04-1360-01	TCGA-04-1360-01A-01D-0452-01	0.8
TCGA-04-1361-01	TCGA-04-1361-01A-01D-0452-01	0.69
TCGA-04-1362-01	TCGA-04-1362-01A-01D-0452-01	0.86
TCGA-04-1367-01	TCGA-04-1367-01A-01D-0452-01	0.89
TCGA-04-1371-01	TCGA-04-1371-01A-01D-0452-01	0.89
TCGA-04-1516-01	TCGA-04-1516-01A-01D-1043-01	0.69
TCGA-04-1542-01	TCGA-04-1542-01A-01D-0497-01	0.94
TCGA-04-1638-01	TCGA-04-1638-01A-01D-0577-01	0.92
TCGA-04-1644-01	TCGA-04-1644-01B-01D-1043-01	0.88
TCGA-04-1646-01	TCGA-04-1646-01A-01D-0577-01	0.97
TCGA-04-1648-01	TCGA-04-1648-01A-01D-0577-01	0.8
TCGA-04-1649-01	TCGA-04-1649-01A-01D-0577-01	0.71
TCGA-04-1651-01	TCGA-04-1651-01A-01D-0577-01	0.92
TCGA-04-1652-01	TCGA-04-1652-01A-01D-0577-01	0.86
TCGA-04-1655-01	TCGA-04-1655-01A-01D-0559-01	0.94
TCGA-09-0364-01	TCGA-09-0364-01A-02D-0356-01	0.89
TCGA-09-0365-01	TCGA-09-0365-01A-02D-0356-01	0.94
TCGA-09-0369-01	TCGA-09-0369-01A-01D-0356-01	0.9
TCGA-09-1664-01	TCGA-09-1664-01A-01D-0577-01	0.91
TCGA-09-1673-01	TCGA-09-1673-01A-01D-0559-01	0.87
TCGA-09-1674-01	TCGA-09-1674-01A-01D-0559-01	0.95
TCGA-09-1675-01	TCGA-09-1675-01B-01D-0559-01	0.95
TCGA-09-2043-01	TCGA-09-2043-01A-01D-0704-01	0.88
TCGA-09-2044-01	TCGA-09-2044-01B-01D-0704-01	0.89
TCGA-09-2049-01	TCGA-09-2049-01D-01D-0704-01	0.97
TCGA-09-2050-01	TCGA-09-2050-01A-01D-0704-01	0.96
TCGA-09-2051-01	TCGA-09-2051-01A-01D-0704-01	0.74
TCGA-09-2053-01	TCGA-09-2053-01C-01D-0663-01	0.81
TCGA-09-2055-01	TCGA-09-2055-01B-01D-0704-01	0.82
TCGA-10-0926-01	TCGA-10-0926-01A-01D-0399-01	0.87
TCGA-10-0927-01	TCGA-10-0927-01A-02D-0399-01	0.82
TCGA-10-0928-01	TCGA-10-0928-01A-02D-0399-01	0.95
TCGA-10-0930-01	TCGA-10-0930-01A-02D-0399-01	0.66
TCGA-10-0931-01	TCGA-10-0931-01A-01D-0399-01	0.9
TCGA-10-0933-01	TCGA-10-0933-01A-01D-0399-01	0.91
TCGA-10-0934-01	TCGA-10-0934-01A-02D-0399-01	0.91
TCGA-10-0935-01	TCGA-10-0935-01A-03D-0399-01	0.95
TCGA-10-0937-01	TCGA-10-0937-01A-02D-0399-01	0.9
TCGA-13-0714-01	TCGA-13-0714-01A-01D-0356-01	0.76
TCGA-13-0726-01	TCGA-13-0726-01A-01D-0356-01	0.73
TCGA-13-0751-01	TCGA-13-0751-01A-01D-0356-01	0.93
